,month,year,Change,increase
238,December,2013,0.07,True
239,January,2014,0.11,True
240,February,2014,0.07,True
241,March,2014,0.03,True
242,April,2014,0.1,True
243,May,2014,0.03,True
244,June,2014,-0.03,False
245,July,2014,-0.02,False
246,August,2014,0.02,True
247,September,2014,-0.03,False
248,October,2014,0.0,False
249,November,2014,-0.01,False
250,December,2014,-0.13,False
251,January,2015,-0.06,False
252,February,2015,-0.13,False
253,March,2015,-0.08,False
254,April,2015,-0.12,False
255,May,2015,-0.1,False
256,June,2015,-0.03,False
257,July,2015,-0.08,False
258,August,2015,-0.28,False
259,September,2015,-0.19,False
260,October,2015,-0.28,False
261,November,2015,-0.99,False
262,December,2015,1.0,True
263,January,2016,0.42,True
264,February,2016,0.12,True
265,March,2016,-0.05,False
266,April,2016,0.03,True
267,May,2016,0.0,False
268,June,2016,0.03,True
269,July,2016,0.03,True
270,August,2016,0.03,True
271,September,2016,0.0,False
272,October,2016,0.0,False
273,November,2016,0.02,True
274,December,2016,0.32,True
275,January,2017,0.2,True
276,February,2017,0.02,True
277,March,2017,0.2,True
278,April,2017,0.14,True
279,May,2017,0.01,True
280,June,2017,0.14,True
281,July,2017,0.11,True
282,August,2017,0.01,True
283,September,2017,-0.01,False
284,October,2017,0.0,False
285,November,2017,0.01,True
286,December,2017,0.12,True
287,January,2018,0.08,True
