,date,index,difference,index_increase,year,month
198,2011-03-01,0.82863,-0.19161,0,2011,March
199,2011-04-01,1.07521,0.24658,1,2011,April
200,2011-05-01,0.88178,-0.19343,0,2011,May
201,2011-06-01,0.78652,-0.09526,0,2011,June
202,2011-07-01,0.27088,-0.51564,0,2011,July
203,2011-08-01,0.01848,-0.2524,0,2011,August
204,2011-09-01,0.16128,0.1428,1,2011,September
205,2011-10-01,0.32725,0.16597,1,2011,October
206,2011-11-01,0.56631,0.23906,1,2011,November
207,2011-12-01,0.73069,0.16438,1,2011,December
208,2012-01-01,0.98043,0.24974,1,2012,January
209,2012-02-01,1.15824,0.17781,1,2012,February
210,2012-03-01,1.10395,-0.05429,0,2012,March
211,2012-04-01,0.84201,-0.26194,0,2012,April
212,2012-05-01,0.68766,-0.15435,0,2012,May
213,2012-06-01,0.64775,-0.03991,0,2012,June
214,2012-07-01,0.68351,0.03576,1,2012,July
215,2012-08-01,0.68895,0.00544,1,2012,August
216,2012-09-01,0.79623,0.10728,1,2012,September
217,2012-10-01,0.80115,0.00492,1,2012,October
218,2012-11-01,0.5892,-0.21195,0,2012,November
219,2012-12-01,0.55833,-0.03087,0,2012,December
220,2013-01-01,0.41975,-0.13858,0,2013,January
221,2013-02-01,0.71335,0.2936,1,2013,February
222,2013-03-01,0.59899,-0.11436,0,2013,March
223,2013-04-01,0.72913,0.13014,1,2013,April
224,2013-05-01,0.75216,0.02303,1,2013,May
225,2013-06-01,0.837,0.08484,1,2013,June
226,2013-07-01,0.82095,-0.01605,0,2013,July
227,2013-08-01,0.88185,0.0609,1,2013,August
228,2013-09-01,0.75178,-0.13007,0,2013,September
229,2013-10-01,0.6781,-0.07368,0,2013,October
230,2013-11-01,0.70963,0.03153,1,2013,November
231,2013-12-01,0.76534,0.05571,1,2013,December
232,2014-01-01,0.6985,-0.06684,0,2014,January
233,2014-02-01,0.41413,-0.28437,0,2014,February
234,2014-03-01,0.89036,0.47623,1,2014,March
235,2014-04-01,1.1201,0.22974,1,2014,April
236,2014-05-01,1.35185,0.23175,1,2014,May
237,2014-06-01,1.09198,-0.25987,0,2014,June
238,2014-07-01,1.14274,0.05076,1,2014,July
239,2014-08-01,1.1985,0.05576,1,2014,August
240,2014-09-01,1.08403,-0.11447,0,2014,September
241,2014-10-01,1.15648,0.07245,1,2014,October
242,2014-11-01,1.21724,0.06076,1,2014,November
243,2014-12-01,1.35506,0.13782,1,2014,December
244,2015-01-01,1.26503,-0.09003,0,2015,January
245,2015-02-01,1.03191,-0.23312,0,2015,February
246,2015-03-01,0.91042,-0.12149,0,2015,March
247,2015-04-01,0.84928,-0.06114,0,2015,April
248,2015-05-01,0.97475,0.12547,1,2015,May
249,2015-06-01,1.12169,0.14694,1,2015,June
250,2015-07-01,0.77486,-0.34683,0,2015,July
251,2015-08-01,0.92584,0.15098,1,2015,August
252,2015-09-01,0.7672,-0.15864,0,2015,September
253,2015-10-01,0.621,-0.1462,0,2015,October
254,2015-11-01,0.96359,0.34259,1,2015,November
255,2015-12-01,0.97458,0.01099,1,2015,December
256,2016-01-01,0.5158,-0.45878,0,2016,January
257,2016-02-01,0.49649,-0.01931,0,2016,February
258,2016-03-01,0.40067,-0.09582,0,2016,March
259,2016-04-01,0.45336,0.05269,1,2016,April
260,2016-05-01,0.62729,0.17393,1,2016,May
261,2016-06-01,0.65144,0.02415,1,2016,June
262,2016-07-01,0.63321,-0.01823,0,2016,July
263,2016-08-01,0.74252,0.10931,1,2016,August
264,2016-09-01,0.79026,0.04774,1,2016,September
265,2016-10-01,0.8715,0.08124,1,2016,October
266,2016-11-01,1.18664,0.31514,1,2016,November
267,2016-12-01,1.18167,-0.00497,0,2016,December
268,2017-01-01,1.28202,0.10035,1,2017,January
269,2017-02-01,1.25854,-0.02348,0,2017,February
270,2017-03-01,1.40384,0.1453,1,2017,March
271,2017-04-01,1.29403,-0.10981,0,2017,April
272,2017-05-01,1.23215,-0.06188,0,2017,May
273,2017-06-01,1.31988,0.08773,1,2017,June
274,2017-07-01,1.29852,-0.02136,0,2017,July
275,2017-08-01,1.3804,0.08188,1,2017,August
276,2017-09-01,1.13936,-0.24104,0,2017,September
277,2017-10-01,1.49708,0.35772,1,2017,October
278,2017-11-01,1.57926,0.08218,1,2017,November
279,2017-12-01,1.42354,-0.15572,0,2017,December
280,2018-01-01,1.17528,-0.24826,0,2018,January
